投诉品牌,投诉车系,投诉车型,问题简述,典型问题,典型问题2,典型问题4
北京奔驰,奔驰C级,2021款 C 260 L 运动版,奔驰C级电瓶故障反复维修存在安全隐患,车身附件及电器,电瓶故障,
北京奔驰,奔驰C级,2021款 C 260 L 运动版,奔驰C级电瓶故障反复维修存在安全隐患,车身附件及电器,电瓶故障,
北京奔驰,奔驰C级,2021款 C 260 L 运动版,奔驰C级电瓶故障反复维修存在安全隐患,车身附件及电器,电瓶故障,
BEIJING汽车,BEIJING-X7,2020款 1.5TD DCT 致尚版,BEIJING-X7新车发动机漏油要求补偿,发动机,漏油,人员技术
吉利汽车,博越,2020款 1.8TD DCT 智联PRO,吉利博越4S店未告知选配 补偿不合理,,人员技术,
一汽丰田,RAV4荣放,2020款 2.5L CVT 四驱 旗舰版 双擎,一汽丰田RAV4荣放机油增多 机油乳化严重,发动机,机油增多,机油乳化
一汽-大众,速腾,2019款 280TSI DSG 舒适型 国VI,一汽大众速腾发动机烧机油 升降挡时异响,发动机,烧机油,异响
一汽-大众,迈腾,2013款 1.8TSI 舒适型,大众迈腾变速箱机电单元格变速箱阀体故障,变速器,电脑板故障,
长城汽车,哈弗H6,2021款 1.5GDIT 自动 都市版,哈弗H6天窗异响售后多次处理未解决,车身附件及电器,天窗异响,
华晨宝马,宝马X1,2020款 sDrive25Li 领先型,华晨宝马X1冷车启动熄火希望尽快处理,发动机,熄火,
长安福特,蒙迪欧,2018款 EcoBoost 180 时尚型,长安福特蒙迪欧节气门漏油影响行驶安全,发动机,漏油,抖动
奔驰（进口）,奔驰GLE,2018款 GLE 320 4MATIC 动感型 臻藏版,进口奔驰GLE发动机熄火 转向系统故障,发动机,熄火,无法启动
一汽-大众,迈腾,2017款 330TSI DSG 豪华型,一汽大众迈腾变速箱提示紧急运行模式,变速器,滑阀箱故障,电脑板故障
上汽大众,朗逸,2019款 1.5L 自动 风尚版 国VI,上汽大众朗逸刹车片异响严重要求解决,制动系统,异响,
上汽通用雪佛兰,探界者,2018款 535T 四驱 拓界版,雪佛兰探界者行驶时变速箱异响抖动,变速器,异响,抖动
上汽通用五菱,新宝骏RS-5,2020款 300T CVT 智能旗舰型,新宝骏RS-5变速箱无法升挡存在质量问题,变速器,无法换挡,
北京现代,瑞纳,2017款 1.4L 手动 焕彩版 国V,北京现代瑞纳发动机敲缸异响希望解决,发动机,异响,
上汽大众斯柯达,柯珞克,2018款 TSI280 舒适版 国V,斯柯达柯珞克机电单元故障4S店不给交通补偿,,承诺不兑现,
一汽-大众,速腾,2015款 230TSI  自动 豪华型,一汽大众速腾高压油泵异响厂家置之不理,发动机,异响,
奇瑞汽车,瑞虎3,2014款 1.6L 手动 风尚版 5座,奇瑞瑞虎3车身生锈而且车身多处存在异响,车身附件及电器,车身生锈,车身异响
丰田（进口）,兰德酷路泽（进口）,2015款 4.0L 中东低配版 V6,进口丰田兰德酷路泽经销商出售喷漆修复车辆,,销售欺诈,
北京现代,悦动,2017款 1.6L 自动 悦值版 GLS,北京现代悦动中控台和方向盘异响严重,转向系统,异响,中控台异响
上汽大众,途观L新能源,2021款 430PHEV 插电混动 旗舰版,上汽大众途观L新能源经销商销售不讲诚信,,服务收费,承诺不兑现
长城汽车,WEY VV7,2019款 2.0T 旗舰型 升级版 国VI,WEY VV7 实车配置与宣传配置不同希望厂家处理,车身附件及电器,车载互联故障,行车安全辅助系统故障
一汽丰田,卡罗拉,2021款 1.2T S-CVT 精英版,一汽丰田卡罗拉低速时变速箱顿挫异响,变速器,异响,顿挫
一汽奔腾,奔腾B30EV,2019款 EV400,一汽奔腾B30EV水泵损坏厂家一直不解决,发动机,冷却系统故障,服务态度
北京现代,北京现代ix35,2015款 2.0L 自动 四驱 智能型 国V,北京现代ix35车辆启动困难存在质量问题,发动机,无法启动,
东风悦达起亚,起亚K3,2019款 1.5L CVT 智享互联版,起亚K3提供的远程UVO服务无法正常使用,车身附件及电器,车载互联故障,
北京现代,领动,2016款 1.6L 自动 智炫·精英型,北京现代领动行驶过程中方向盘卡顿,转向系统,卡滞,
东风本田,杰德,2017款 1.8L 自动 舒适版 5座,东风本田杰德优科豪马轮胎起皮开裂及掉块,轮胎,开裂,起皮
东风本田,杰德,2017款 1.8L 自动 舒适版 5座,东风本田杰德优科豪马轮胎起皮开裂及掉块,轮胎,开裂,起皮
东风本田,杰德,2017款 1.8L 自动 舒适版 5座,东风本田杰德优科豪马轮胎起皮开裂及掉块,轮胎,开裂,起皮
东风本田,杰德,2017款 1.8L 自动 舒适版 5座,东风本田杰德优科豪马轮胎起皮开裂及掉块,轮胎,开裂,起皮
东风本田,杰德,2017款 1.8L 自动 舒适版 5座,东风本田杰德优科豪马轮胎起皮开裂及掉块,轮胎,开裂,起皮
东风本田,杰德,2017款 1.8L 自动 舒适版 5座,东风本田杰德优科豪马轮胎起皮开裂及掉块,轮胎,开裂,起皮
东风本田,杰德,2017款 1.8L 自动 舒适版 5座,东风本田杰德优科豪马轮胎起皮开裂及掉块,轮胎,开裂,起皮
东风本田,杰德,2017款 1.8L 自动 舒适版 5座,东风本田杰德优科豪马轮胎起皮开裂及掉块,轮胎,开裂,起皮
一汽-大众奥迪,奥迪A4L,2020款 40 TFSI 时尚动感型,一汽大众奥迪A4L尾灯内部开裂车灯故障,车身附件及电器,部件开裂,车灯不亮
北京现代,领动,2019款 1.4T 双离合 炫动·活力型,北京现代领动离合器二挡抖动 加速有冲击感,变速器,抖动,抖动
星途,星途TX,2019款 TX 1.6T 四驱 铂金版,星途TX电池亏电严重导致空调无法启动,车身附件及电器,电瓶故障,
华晨中华,中华骏捷FRV,2010款 1.3L 手动 舒适型,中华骏捷FRV汽油泵召回厂家无零配件,车身附件及电器,汽油泵故障,配件争议
沃尔沃亚太,沃尔沃XC60新能源,2019款 T8 E驱混动 智雅运动版 国VI,沃尔沃XC60新能源刹车异响真空泵故障,制动系统,异响,刹车泵故障
东风风行,景逸X5,2017款 1.5T CVT 智联型 劲享系列,东风风行景逸X5发动机漏油变速箱异响,发动机,漏油,异响
星途,星途TX,2020款 1.6T 四驱 星享版,星途TX电瓶亏电导致发动机无法启动,车身附件及电器,电瓶故障,
东风日产,天籁,2020款 2.0L XL Upper 智行版,日产天籁变速箱漏油汽油箱异响显示面板故障,变速器,漏油,部件开裂
东风标致,标致408,2016款 1.6T 自动 豪华版,东风标致408提示电路故障请维修车辆,车身附件及电器,电路故障,
一汽-大众,高尔夫,2018款 230TSI 自动 舒适型,一汽大众高尔夫变速器升降挡时明显异响,变速器,异响,
奇瑞汽车,捷途X70 PLUS,2021款 1.6T DCT 辰 5座,捷途X70 PLUS车辆灯光暗影响行车安全,车身附件及电器,车灯不亮,
东风日产,轩逸,2020款 1.6L XL CVT 悦享版,东风日产轩逸中控显示器黑屏存在质量问题,车身附件及电器,影音系统故障,
一汽-大众奥迪,奥迪Q5,2015款 40 TFSI 舒适型 5座,一汽大众奥迪Q5发动机漏油烧机油 漏冷却液,发动机,漏油,烧机油
一汽奔腾,奔腾T99,2019款 20TD 自动 尊享型,一汽奔腾T99停放十天电瓶亏电无法启动,车身附件及电器,电瓶故障,
上汽大众斯柯达,柯米克,2020款 1.5L 自动 舒适版,斯柯达柯米克前挡风玻璃自然开裂,车身附件及电器,玻璃开裂,服务态度
奇瑞汽车,瑞虎7,2020款 1.5T CVT 精英型,奇瑞瑞虎7发动机舱右侧异响要求解决,发动机,异响,
上汽通用五菱,乐驰,2008款 1.0L 手动 豪华型,宝骏乐驰维修后车轮定位不准 ABS故障报警,制动系统,ABS故障,四轮定位偏差
华晨宝马,宝马3系,2020款 改款 325Li M运动曜夜套装,华晨宝马3系空调出风口断裂要求解决,车身附件及电器,空调问题,部件开裂
东风雪铁龙,雪铁龙C4L,2015款 1.8L 自动 豪华版,东风雪铁龙C4L汽油泵故障 发动机烧机油,发动机,烧机油,汽油泵故障
北京奔驰,奔驰GLB,2020款 GLB 200 动感型,北京奔驰GLB减配电磁碳罐阻尼器发动机异响,发动机,异响,其他
东风日产,劲客,2018款 1.5L CVT 智联尊享版,东风日产劲客前车轮半轴漏油希望解决,前后桥及悬挂系统,半轴渗油,
大众（进口）,Tiguan,2019款 330TSI 四驱 高配型,进口大众Tiguan全液晶仪表盘黑屏,车身附件及电器,仪表故障,
一汽-大众,宝来,2019款 改款 1.5L 自动 精英型 国VI,一汽大众宝来车内异响 加油顿挫加速无反应,变速器,顿挫,无法加速
上汽通用别克,英朗,2021款 改款 典范 1.5L 自动 精英型,别克英朗与经销商签订协议但不予交车,,承诺不兑现,
华晨宝马,宝马5系,2021款 525Li M运动套装,华晨宝马5系选装音响无低音未处理,车身附件及电器,影音系统故障,
奇瑞汽车,瑞虎7,2016款 1.5T 手动 耀目版,奇瑞瑞虎7低速倒车转向异响影响使用,转向系统,异响,门窗异响
广汽本田,飞度,2018款 1.5L CVT 舒适版,广汽本田飞度发动机热车挂D挡明显抖动,发动机,抖动,
广汽本田,飞度,2018款 1.5L CVT 舒适版,广汽本田飞度发动机热车挂D挡明显抖动,发动机,抖动,
广汽本田,飞度,2018款 1.5L CVT 舒适版,广汽本田飞度发动机热车挂D挡明显抖动,发动机,抖动,
广汽本田,飞度,2018款 1.5L CVT 舒适版,广汽本田飞度发动机热车挂D挡明显抖动,发动机,抖动,
广汽本田,飞度,2018款 1.5L CVT 舒适版,广汽本田飞度发动机热车挂D挡明显抖动,发动机,抖动,
广汽本田,飞度,2018款 1.5L CVT 舒适版,广汽本田飞度发动机热车挂D挡明显抖动,发动机,抖动,
广汽本田,飞度,2018款 1.5L CVT 舒适版,广汽本田飞度发动机热车挂D挡明显抖动,发动机,抖动,
广汽本田,飞度,2018款 1.5L CVT 舒适版,广汽本田飞度发动机热车挂D挡明显抖动,发动机,抖动,
奇瑞汽车,捷途X70 PLUS,2021款 1.6T DCT 地 7座,捷途X70 PLUS车灯远光灯不聚光距离近,车身附件及电器,车灯不亮,
长城汽车,哈弗F7x,2021款 2.0T 两驱 极智潮玩版,哈弗F7x车联网无网络服务远程控制无效,车身附件及电器,车载互联故障,
长安汽车,奔奔E-Star,2021款 国民版 心悦版,长安奔奔E-Star保险杠喷漆经销商出售事故车,,销售欺诈,
长安汽车,奔奔MINI,2012款 1.0L 手动 亲情版 国IV,长安奔奔MINI转向卡滞 方向机异响,转向系统,异响,卡滞
吉利汽车,远景,2015款 1.5L 手动 精英型,吉利远景发动机正时链条断裂发动机损坏,发动机,正时链条及齿轮故障,
猎豹汽车,猎豹CS9,2017款 1.5L 手动 精英型,"猎豹CS9发动机温度过高存在质量问题	",发动机,冷却系统故障,
广汽乘用车,传祺GS4,2021款 270T 自动 智联科技版,广汽传祺GS4发动机抖动 换挡时变速箱顿挫,发动机,抖动,顿挫
一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国Ⅵ,一汽大众探岳车灯透镜发白 防冻液异常消耗,发动机,漏防冻液,车灯不亮
一汽-大众,探岳,2019款 330TSI 两驱 尊贵型 国Ⅵ,一汽大众探岳韩泰轮胎开裂存在安全隐患,轮胎,开裂,
东风本田,本田UR-V,2020款 240TURBO 两驱 致雅版,东风本田UR-V发动机出现漏油的现象,发动机,漏油,
广汽本田,飞度,2014款 1.5L CVT LX舒适型,广汽本田飞度启动机故障导致发动机无法启动,发动机,无法启动,
广汽丰田,雷凌,2021款 185T CVT 进取版,广汽丰田雷凌起步或减速时有顿挫的现象,变速器,顿挫,
长安汽车,长安CS35 PLUS,2018款 1.6L 自动 智联版 国V,长安CS35 PLUS远程控制空调开启功能收费,,服务收费,
上汽通用别克,昂科威,2018款 20T 双离合 两驱 豪华型,别克昂科威安吉星无法支持软件下载,车身附件及电器,车载互联故障,
东风标致,标致5008,2019款 380THP 精英版 7座,东风标致5008车身共振噪音大希望厂家处理,车身附件及电器,车身共振,
一汽丰田,亚洲龙,2019款 2.0L 豪华版 国VI,一汽丰田亚洲龙方向跑偏挡风玻璃开裂,前后桥及悬挂系统,跑偏,玻璃开裂
长城汽车,哈弗H6,2020款 1.5GDIT 自动 铂金都市版,哈弗H6自动驻车与陡坡缓降故障灯亮,车身附件及电器,行车安全辅助系统故障,
上汽通用雪佛兰,迈锐宝XL,2019款 Redline 550T 自动 锐智版,雪佛兰迈锐宝XL冷车中控屏启动慢,车身附件及电器,影音系统故障,
东风本田,本田XR-V,2015款 1.5L LXi CVT经典版,东风本田XR-V冷车启动发动机异响,发动机,异响,
江淮汽车,瑞风S3,2016款 1.5L 手动 豪华智能型,江淮瑞风S3变速箱内部齿轮磨损导致异响,变速器,异响,机械部件故障
一汽海马,福美来M5,2015款 1.6L 挚爱版,一汽海马福美来F5发动机异响抖动希望处理,发动机,异响,抖动
一汽-大众奥迪,奥迪A4L,2019款 45 TFSI quattro 个性运动版 国VI,一汽大众奥迪A4L转向沉重两侧力度不一致,转向系统,打方向沉重,方向盘不正
比亚迪,唐新能源,2021款 EV 四驱 高性能版 创世旗舰型,比亚迪唐新能源经销商无法按时提车不退押金,,服务收费,承诺不兑现
汉腾汽车,汉腾X5,2018款 1.5T 手动 豪华版,汉腾X5减震器天窗刹车挡风玻璃异响,制动系统,异响,减震器异响
一汽-大众,T-ROC探歌,2018款 280TSI DSG 两驱 舒适型 国V,一汽大众探歌A柱位置发生第二次漏水,车身附件及电器,车身漏水,
东风日产,轩逸,2021款 经典 1.6 XE CVT 舒适版,东风日产轩逸中控变速箱底盘异响,变速器,异响,底盘异响
北京现代,悦纳,2020款 1.4L 手动 GLS 炫酷版,北京现代悦纳松刹车的时候有异响,制动系统,异响,
北京现代,悦纳,2020款 1.4L 手动 GLS 炫酷版,北京现代悦纳松刹车的时候有异响,制动系统,异响,
北京现代,悦纳,2020款 1.4L 手动 GLS 炫酷版,北京现代悦纳松刹车的时候有异响,制动系统,异响,
北京现代,悦纳,2020款 1.4L 手动 GLS 炫酷版,北京现代悦纳松刹车的时候有异响,制动系统,异响,
北京现代,悦纳,2020款 1.4L 手动 GLS 炫酷版,北京现代悦纳松刹车的时候有异响,制动系统,异响,
北京现代,悦纳,2020款 1.4L 手动 GLS 炫酷版,北京现代悦纳松刹车的时候有异响,制动系统,异响,
北京现代,悦纳,2020款 1.4L 手动 GLS 炫酷版,北京现代悦纳松刹车的时候有异响,制动系统,异响,
北京现代,悦纳,2020款 1.4L 手动 GLS 炫酷版,北京现代悦纳松刹车的时候有异响,制动系统,异响,
一汽丰田,亚洲龙,2019款 2.0L XLE 尊享版 国VI,一汽丰田亚洲龙变速箱故障灯报警,变速器,故障灯亮,
马自达（进口）,马自达CX-3,2018款 2.0L 尊贵型,进口马自达CX-3车辆发生自燃要求解决,车身附件及电器,车辆自燃,
比亚迪,比亚迪S7,2017款 2.0T 自动 尊荣型,比亚迪S7中控黑屏希望尽快得到处理,车身附件及电器,影音系统故障,
广汽丰田,凯美瑞,2007款 240E 2.4 自动 精英版,广汽丰田凯美瑞仪表台开裂软化出油反光,车身附件及电器,仪表台开裂,
广汽本田,雅阁,2018款 260TURBO 豪华版 国VI,广汽本田雅阁经销商承诺优惠券未兑现,,承诺不兑现,
吉利汽车,博越,2016款 1.8TD 自动 两驱 智尚型,吉利博越原地挂D挡延迟顿挫 变速箱换挡抖动,变速器,顿挫,抖动
东风标致,标致3008,2015款 2.0L 自动 潮流版,东风标致3008油表不准 加油跳枪,车身附件及电器,油箱有缺陷,
沃尔沃亚太,沃尔沃S60,2021款 T4 智逸豪华版,亚太沃尔沃S60怠速和低速行驶时共振严重,车身附件及电器,车身共振,服务态度
上汽通用别克,凯越,2013款 1.5L 自动 尊享型,别克凯越仪表台副驾安全气囊盖开裂翘起,车身附件及电器,仪表台开裂,
上汽大众,凌渡,2019款 230TSI DSG 风尚版 国V,上汽大众凌渡电瓶亏电经销商不予解决,车身附件及电器,电瓶故障,服务态度
广汽丰田,汉兰达,2015款 2.0T 四驱 豪华版 7座,广汽丰田汉兰达发动机故障报警要求解决,发动机,故障灯亮,
长安汽车,长安CS75 PLUS,2020款 2.0T 自动 领航型,长安CS75 PLUS挡位挂到P挡后无法换挡,变速器,无法换挡,
上汽大众,帕萨特,2016款 330TSI DSG 尊荣版,上汽大众帕萨特变速箱机电控制单元故障,变速器,电脑板故障,跳挡
北京现代,索纳塔,2020款 270TGDi GLS DCT 精英版,北京现代索纳塔方向盘变速箱天窗饰板异响,变速器,异响,异响
北京现代,途胜,2020款 280TGDi 两驱 GLS 智联版 国VI,北京现代途胜变速箱异响顿挫希望处理,变速器,异响,顿挫
广汽丰田,凯美瑞,2016款 2.0G 自动 十周年纪念领先版,广汽丰田凯美瑞左右半轴同时出现漏油,前后桥及悬挂系统,半轴渗油,
长城汽车,哈弗H2s,2017款 1.5T 自动 精英型 红标,哈弗H2s副驾中控台鼓包及异响希望处理,车身附件及电器,仪表台开裂,中控台异响
长安福特,翼搏,2013款 1.5 自动 风尚型,长安福特翼搏离合器故障挂不上挡,离合器,离合器失效,
上汽通用凯迪拉克,凯迪拉克XT4,2021款 28T 两驱 领先型,凯迪拉克XT4车身漆面存在异物影响美观,车身附件及电器,漆面起泡开裂,
一汽-大众奥迪,奥迪Q5L,2020款 45 TFSI 尊享时尚型,一汽大众奥迪Q5L中控异响严重希望处理,车身附件及电器,中控台异响,
福汽新龙马,启腾N50EV,2020款 标准厢货版,福汽启腾N50EV电池续航里程不足,车身附件及电器,续航里程不准,
广汽乘用车,传祺GS5,2019款 270T 自动 尊享版,广汽传祺GS5变速箱顿挫希望处理,变速器,顿挫,
上汽通用凯迪拉克,凯迪拉克ATS-L,2016款 28T 时尚型,凯迪拉克ATS-L变速箱抖动 中控屏幕失灵,变速器,抖动,影音系统故障
一汽丰田,卡罗拉,2021款 1.2T S-CVT 先锋版,一汽丰田卡罗拉销售承诺不兑现希望处理,,承诺不兑现,
一汽-大众,迈腾,2012款 1.8TSI 豪华型,一汽大众迈腾冷车启动时抖动故障灯亮,发动机,抖动,故障灯亮
一汽奔腾,奔腾T77,2019款 230 TID 自动 尊享型 国VI,一汽奔腾T77仪表花屏无配件希望处理,车身附件及电器,仪表故障,配件争议
吉利汽车,缤越,2019款 260T DCT 骑士 国VI,吉利缤越经销商赠送保养承诺未兑现,,承诺不兑现,
吉利汽车,缤越,2019款 260T DCT 骑士 国VI,吉利缤越经销商赠送保养承诺未兑现,,承诺不兑现,
吉利汽车,缤越,2019款 260T DCT 骑士 国VI,吉利缤越经销商赠送保养承诺未兑现,,承诺不兑现,
吉利汽车,缤越,2019款 260T DCT 骑士 国VI,吉利缤越经销商赠送保养承诺未兑现,,承诺不兑现,
吉利汽车,缤越,2019款 260T DCT 骑士 国VI,吉利缤越经销商赠送保养承诺未兑现,,承诺不兑现,
吉利汽车,缤越,2019款 260T DCT 骑士 国VI,吉利缤越经销商赠送保养承诺未兑现,,承诺不兑现,
吉利汽车,缤越,2019款 260T DCT 骑士 国VI,吉利缤越经销商赠送保养承诺未兑现,,承诺不兑现,
吉利汽车,缤越,2019款 260T DCT 骑士 国VI,吉利缤越经销商赠送保养承诺未兑现,,承诺不兑现,
上汽通用雪佛兰,迈锐宝,2018款 530T 风尚版,雪佛兰迈锐宝经销商赠送保养承诺未兑现,,承诺不兑现,
北京现代,领动,2016款 1.6L 自动 智炫·精英型,北京现代领动后风挡加热失灵要求解决,车身附件及电器,电路故障,
东风日产,逍客,2019款 2.0L CVT 智享版,东风日产逍客发动机和侧滑故障报警加速无力,发动机,故障灯亮,噪音大
广汽本田,雅阁,2018款 260TURBO 精英版 国V,广汽本田雅阁方向盘高速变轻转向虚位,变速器,漏油,方向盘自由间隙过大
广汽丰田,凯美瑞,2018款 2.5G 自动 豪华版,广汽丰田凯美瑞车机互联故障一直未解决,车身附件及电器,车载互联故障,
一汽马自达,马自达CX-4,2020款 2.0L 自动 两驱 蓝天活力版,一汽马自达CX-4车身多处异响希望处理,车身附件及电器,车身异响,
吉利汽车,帝豪,2019款 领军版 1.5L 手动 向上互联型 国V,吉利帝豪前轮车胎外侧严重吃胎要求处理,前后桥及悬挂系统,吃胎偏磨,
上汽集团,荣威RX3,2018款 1.6L 手动 旗舰版,上汽荣威RX3经销商疑似出售问题车,,销售欺诈,
长城汽车,哈弗H7,2021款 2.0T 悦享型,哈弗H7倒车雷达报警 倒车影像故障,车身附件及电器,影音系统故障,倒车雷达失灵
上汽通用雪佛兰,创酷,2014款 1.4T 手动 两驱 舒适型 5座,雪佛兰创酷正时链条故障希望尽快处理,发动机,正时链条及齿轮故障,
一汽丰田,RAV4荣放,2016款 2.0L CVT 两驱 智尚版 国V,一汽丰田RAV4转向机卡滞异响希望处理,转向系统,异响,卡滞
东风标致,标致308S,2015款 1.6T 自动 劲驰版,东风标致308S发动机故障灯亮 动力不足,发动机,故障灯亮,功率不足
一汽-大众奥迪,奥迪Q5,2017款 Plus 40 TFSI 技术型,一汽大众奥迪Q5节温器漏防冻液希望处理,发动机,漏防冻液,
奇瑞汽车,瑞虎7,2016款 2.0L CVT 耀臻版,奇瑞瑞虎7变速箱故障导致无法加速,变速器,无法加速,
一汽-大众,探岳,2020款 330TSI 两驱 豪华智联版,一汽大众探岳车辆倒车和启步时异响,发动机,异响,
BEIJING汽车,绅宝D50,2018款 1.5L CVT 尊享智联版,绅宝D50电子驻车系统故障报警4S店不予质保,制动系统,故障灯亮,手刹故障
东风日产,启辰星,2020款 260T 自动 星尚版,东风启辰星发动机故障灯亮动力消失中控黑屏,发动机,故障灯亮,动力消失
一汽-大众,速腾,2018款 1.6L 自动 舒适型,一汽大众速腾变速箱换挡顿挫 底盘异响,变速器,顿挫,底盘异响
奇瑞汽车,捷途X70 PLUS,2021款 1.5T DCT 山 5座,捷途X70 PLUS大灯散光 显示屏触摸失灵,车身附件及电器,影音系统故障,车载互联故障
东风本田,本田XR-V,2017款 1.8L EXi CVT 舒适版,东风本田XR-V优科豪马轮胎损坏要求解决,轮胎,开裂,
奇瑞汽车,风云2,2013款 1.5L 手动 快意版 两厢,奇瑞风云2后保险杠4S店无配件要求尽快解决,,配件争议,
上汽通用五菱,宝骏560,2015款 1.8L 手动 豪华型,宝骏560冷启动异响厂家和经销商推诿不解决,发动机,异响,服务态度
吉利汽车,帝豪GS,2018款 1.8L 自动 运动版 领尚型,吉利帝豪GS气囊故障报警4S店未告知加装电阻,车身附件及电器,气囊故障,服务流程不完善
一汽-大众,迈腾,2019款 280TSI DSG 舒适型 国VI,一汽大众迈腾刹车盘异常磨损抖动异响,制动系统,异响,抖动
一汽-大众奥迪,奥迪Q2L,2018款 35TFSI 上市专享版 国Ⅵ,一汽大众奥迪Q2L发动机机油灯报警 烧机油,发动机,故障灯亮,烧机油
一汽丰田,RAV4荣放,2019款 2.0L CVT 两驱 风尚X 限量版 国VI,一汽丰田RAV4荣放厂家赠送保养与宣传不符,,服务态度,销售欺诈
东风小康,风光580,2016款 1.5T CVT 豪华型 改款,东风风光580全车异响 电池经常亏电,车身附件及电器,电瓶故障,车身异响
东风小康,风光580,2016款 1.5T CVT 豪华型 改款,东风风光580全车异响 电池经常亏电,车身附件及电器,电瓶故障,车身异响
东风小康,风光580,2016款 1.5T CVT 豪华型 改款,东风风光580全车异响 电池经常亏电,车身附件及电器,电瓶故障,车身异响
东风小康,风光580,2016款 1.5T CVT 豪华型 改款,东风风光580全车异响 电池经常亏电,车身附件及电器,电瓶故障,车身异响
东风小康,风光580,2016款 1.5T CVT 豪华型 改款,东风风光580全车异响 电池经常亏电,车身附件及电器,电瓶故障,车身异响
东风小康,风光580,2016款 1.5T CVT 豪华型 改款,东风风光580全车异响 电池经常亏电,车身附件及电器,电瓶故障,车身异响
东风小康,风光580,2016款 1.5T CVT 豪华型 改款,东风风光580全车异响 电池经常亏电,车身附件及电器,电瓶故障,车身异响
东风小康,风光580,2016款 1.5T CVT 豪华型 改款,东风风光580全车异响 电池经常亏电,车身附件及电器,电瓶故障,车身异响
奇瑞捷豹路虎,捷豹XEL,2020款 2.0T 200PS R-DYNAMIC S进取运动版,奇瑞捷豹路虎捷豹XEL行驶变速箱卡顿,变速器,顿挫,
广汽乘用车,传祺GS4,2015款 200T G-DCT 豪华版,广汽传祺GS4两前下支臂胶套有开裂现象,前后桥及悬挂系统,下摆臂故障,
上汽通用凯迪拉克,凯迪拉克CT6,2017款 28T 豪华型,凯迪拉克CT6行驶时车身共振抖动异响,车身附件及电器,车身异响,车身共振
一汽丰田,RAV4荣放,2020款 双擎 2.5L CVT 四驱 精英PLUS版,一汽丰田RAV4荣放发动机机油增多乳化,发动机,机油增多,机油乳化
华晨宝马,宝马X1,2016款 sDrive18Li 时尚型,华晨宝马X1后减震缓冲块生锈要求解决,车身附件及电器,车身生锈,
长安福特,福克斯,2012款 1.6 自动 尊贵型 三厢,长安福特福克斯变速箱故障报警4S店不予索赔,变速器,顿挫,故障灯亮
一汽-大众,迈腾,2019款 330TSI DSG 领先型 国V,一汽大众迈腾出风口异响厂家不给予解决,车身附件及电器,空调问题,服务态度
吉利汽车,星越,2019款 改款 350T 耀星者,吉利星越发动机怠速抖动 雨刷抖动噪音大,发动机,抖动,雨刮器故障
东风日产,轩逸,2020款 1.6L XL CVT 悦享版,东风日产轩逸空调鼓风机异响厂家不予索赔,车身附件及电器,空调问题,服务态度
长安福特,蒙迪欧,2017款 EcoBoost 180 自动 时尚型,长安福特蒙迪欧进气歧管渗入机油要求解决,发动机,漏油,
一汽-大众,迈腾,2017款 330TSI DSG 豪华型,一汽大众迈腾变速箱无法升挡和挂入R挡,变速器,无法换挡,故障灯亮
一汽红旗,红旗H5,2019款 30TD 智联灵动版,红旗H5发动机故障报警熄火后车辆无法启动,发动机,故障灯亮,无法启动
SWM斯威汽车,SWM斯威X7,2016款 1.5T 豪华型,斯威X7 ESC故障灯报警希望得到处理,车身附件及电器,行车安全辅助系统故障,
广汽菲克Jeep,指南者,2019款 220T 自动 悦享版,广汽菲克Jeep指南者底盘变速箱导响,变速器,异响,底盘异响
奇瑞汽车,瑞虎8,2020款 290TGDI 自动 精英版,奇瑞瑞虎8发动机出现机油乳化现象,发动机,机油乳化,
长安福特,锐际,2020款 EcoBoost 245 两驱 聪慧嘉享款,长安福特锐际车轮内衬断裂异响希望解决,车身附件及电器,部件开裂,
上汽通用别克,君威,2019款 20T 精英型 国VI,别克君威变速箱顿挫异响 仪表台车门共振,变速器,异响,顿挫
北京奔驰,奔驰GLK,2014款 260 4MATIC 自动 动感型,北京奔驰GLK排气凸轮轴偏离标准报警,发动机,故障灯亮,
奇瑞汽车,捷途X90,2019款 1.5T 自动 尊享型 6座 国V,捷途X90空调出风口调节拨片损坏,车身附件及电器,空调问题,
华晨宝马,宝马3系,2020款 330i M运动曜夜套装,华晨宝马3系刹车和内饰异响高速时车身抖动,转向系统,异响,异响
广汽本田,奥德赛,2015款 2.4L 智享版 改款,广汽本田奥德赛冷车启动时异响要求处理,发动机,异响,
上汽通用五菱,五菱荣光小卡,2020款 1.2L 基本型 国VI 双排 LSI,五菱荣光小卡车身共振严重希望处理,车身附件及电器,车身共振,
威马汽车,威马EX5,2020款 EX5-Z Nex探索版,威马EX5续航不足 充电速度慢 门窗异响,车身附件及电器,门窗异响,门窗漏风
野马汽车,野马T80,2017款 1.5T 手动 炫酷版,野马T80发动机电脑故障导致功率不足,发动机,功率不足,
广汽乘用车,传祺GS3,2020款 235T 自动 舒享版,广汽传祺GS3免费保养承诺不兑现,,承诺不兑现,
上汽通用别克,昂科拉,2013款 1.4T GS 自动 四驱全能旗舰型,别克昂科拉水箱水泵水管渗漏防冻液,发动机,漏防冻液,
上汽大众斯柯达,明锐,2017款 1.6L 自动 舒适版 经典版,斯柯达明锐换挡机构控制模块故障,变速器,故障灯亮,挡把总成故障
